Retailer,Retailer_ID,Invoice_Date,Region,State,City,Product,Price_PerUnit,Units_Sold,Total_Sales,Operating_Profit,Operating_Margin(%),Sales_Method,Month,IndexMonth,Gender
Foot Locker,1185732,2020-02-09,Northeast,New York,New York,Women's Athletic Footwear,50,850,425000,148750,0.35,Outlet,February,02,True
Foot Locker,1185732,2020-02-10,Northeast,New York,New York,Men's Apparel,60,875,525000,157500,0.3,Outlet,February,02,False
Foot Locker,1185732,2020-03-03,Northeast,New York,New York,Women's Apparel,65,1000,650000,162500,0.25,Outlet,March,03,True
Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,60,1250,750000,375000,0.5,Outlet,March,03,False
Foot Locker,1185732,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,55,1000,550000,165000,0.3,Outlet,March,03,False
Foot Locker,1185732,2020-03-06,Northeast,New York,New York,Women's Street Footwear,50,925,462500,161875,0.35,Outlet,March,03,True
Foot Locker,1185732,2020-03-07,Northeast,New York,New York,Women's Athletic Footwear,50,900,450000,157500,0.35,Outlet,March,03,True
Foot Locker,1185732,2020-03-08,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,Outlet,March,03,False
Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,65,1050,682500,170625,0.25,Outlet,March,03,True
Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,60,1275,765000,382500,0.5,Outlet,March,03,False
Foot Locker,1185732,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,55,1025,563750,169125,0.3,Outlet,March,03,False
Foot Locker,1185732,2020-03-12,Northeast,New York,New York,Women's Street Footwear,50,950,475000,166250,0.35,Outlet,March,03,True
Foot Locker,1185732,2020-03-13,Northeast,New York,New York,Women's Athletic Footwear,50,900,450000,157500,0.35,Outlet,March,03,True
Foot Locker,1185732,2020-03-14,Northeast,New York,New York,Men's Apparel,60,925,555000,166500,0.3,Outlet,March,03,False
Foot Locker,1185732,2020-03-15,Northeast,New York,New York,Women's Apparel,65,1100,715000,178750,0.25,Outlet,March,03,True
Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,60,1250,750000,375000,0.5,Outlet,March,03,False
Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,55,1025,563750,169125,0.3,Outlet,March,03,False
Foot Locker,1185732,2020-03-18,Northeast,New York,New York,Women's Street Footwear,50,950,475000,166250,0.35,Outlet,March,03,True
Foot Locker,1185732,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,50,925,462500,161875,0.35,Outlet,March,03,True
Walmart,1185732,2020-04-17,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,Outlet,April,04,False
Walmart,1185732,2020-04-18,Northeast,New York,New York,Women's Apparel,65,1075,698750,174687,0.25,Outlet,April,04,True
Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,60,1200,720000,360000,0.5,Outlet,April,04,False
Walmart,1185732,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,55,1000,550000,165000,0.3,Outlet,April,04,False
Walmart,1185732,2020-04-21,Northeast,New York,New York,Women's Street Footwear,50,925,462500,161875,0.35,Outlet,April,04,True
Walmart,1185732,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,50,900,450000,157500,0.35,Outlet,April,04,True
Walmart,1185732,2020-04-23,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,Outlet,April,04,False
Walmart,1185732,2020-04-24,Northeast,New York,New York,Women's Apparel,65,1000,650000,162500,0.25,Outlet,April,04,True
Walmart,1185732,2020-04-25,Northeast,New York,New York,Men's Apparel,65,875,568750,170625,0.3,Outlet,April,04,False
Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,70,1000,700000,175000,0.25,Outlet,April,04,True
Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Street Footwear,65,1150,747500,373750,0.5,Outlet,April,04,False
Walmart,1185732,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,55,975,536250,160875,0.3,Outlet,April,04,False
Walmart,1185732,2020-04-29,Northeast,New York,New York,Women's Street Footwear,55,920,506000,177100,0.35,Outlet,April,04,True
Walmart,1185732,2020-04-30,Northeast,New York,New York,Women's Athletic Footwear,55,900,495000,173250,0.35,Outlet,April,04,True
Walmart,1185732,2020-05-01,Northeast,New York,New York,Men's Apparel,65,875,568750,170625,0.3,Outlet,May,05,False
Walmart,1185732,2020-05-02,Northeast,New York,New York,Women's Apparel,70,975,682500,170625,0.25,Outlet,May,05,True
Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,65,1200,780000,390000,0.5,Outlet,May,05,False
Walmart,1185732,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,55,1000,550000,165000,0.3,Outlet,May,05,False
Walmart,1185732,2020-05-05,Northeast,New York,New York,Women's Street Footwear,55,950,522500,182875,0.35,Outlet,May,05,True
Walmart,1185732,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,55,900,495000,173250,0.35,Outlet,May,05,True
Walmart,1185732,2020-05-07,Northeast,New York,New York,Men's Apparel,65,900,585000,175500,0.3,Outlet,May,05,False
Walmart,1185732,2020-07-18,Northeast,New York,New York,Women's Apparel,70,1000,700000,175000,0.25,Outlet,July,07,True
Sports Direct,1197831,2020-07-19,Northeast,New York,New York,Men's Street Footwear,25,900,225000,78750,0.35,Outlet,July,07,False
Sports Direct,1197831,2020-07-20,Northeast,New York,New York,Men's Athletic Footwear,35,900,315000,110250,0.35,Outlet,July,07,False
Sports Direct,1197831,2020-07-21,Northeast,New York,New York,Women's Street Footwear,35,700,245000,85750,0.35,Outlet,July,07,True
Sports Direct,1197831,2020-07-22,Northeast,New York,New York,Women's Athletic Footwear,35,700,245000,110250,0.45,Outlet,July,07,True
Sports Direct,1197831,2020-07-23,South,Texas,Houston,Men's Apparel,40,550,220000,66000,0.3,Outlet,July,07,False
Sports Direct,1197831,2020-07-24,South,Texas,Houston,Women's Apparel,35,700,245000,122500,0.5,Outlet,July,07,True
Sports Direct,1197831,2020-07-25,South,Texas,Houston,Men's Street Footwear,25,850,212500,74375,0.35,Outlet,July,07,False
Sports Direct,1197831,2020-07-26,South,Texas,Houston,Men's Athletic Footwear,35,850,297500,104125,0.35,Outlet,July,07,False
Sports Direct,1197831,2020-07-27,South,Texas,Houston,Women's Street Footwear,35,675,236250,82687,0.35,Outlet,July,07,True
Sports Direct,1197831,2020-07-28,South,Texas,Houston,Women's Athletic Footwear,35,625,218750,98437,0.45,Outlet,July,07,True
Sports Direct,1197831,2020-07-29,South,Texas,Houston,Men's Apparel,40,500,200000,60000,0.3,Outlet,July,07,False
Sports Direct,1197831,2020-07-30,South,Texas,Houston,Women's Apparel,35,700,245000,122500,0.5,Outlet,July,07,True
Sports Direct,1197831,2020-07-31,South,Texas,Houston,Men's Street Footwear,30,875,262500,91875,0.35,Outlet,July,07,False
Sports Direct,1197831,2020-08-01,South,Texas,Houston,Men's Athletic Footwear,40,875,350000,122499,0.35,Outlet,August,08,False
Sports Direct,1197831,2020-08-02,South,Texas,Houston,Women's Street Footwear,35,700,245000,85750,0.35,Outlet,August,08,True
Sports Direct,1197831,2020-08-03,South,Texas,Houston,Women's Athletic Footwear,40,600,240000,108000,0.45,Outlet,August,08,True
Sports Direct,1197831,2020-08-04,South,Texas,Houston,Men's Apparel,45,500,225000,67500,0.3,Outlet,August,08,False
Sports Direct,1197831,2020-08-05,South,Texas,Houston,Women's Apparel,40,650,260000,130000,0.5,Outlet,August,08,True
Sports Direct,1197831,2020-08-06,South,Texas,Houston,Men's Street Footwear,30,900,270000,94500,0.35,Outlet,August,08,False
Sports Direct,1197831,2020-08-07,South,Texas,Houston,Men's Athletic Footwear,40,900,360000,125999,0.35,Outlet,August,08,False
Sports Direct,1197831,2020-08-08,South,Texas,Houston,Women's Street Footwear,35,725,253750,88812,0.35,Outlet,August,08,True
Sports Direct,1197831,2020-08-09,South,Texas,Houston,Women's Athletic Footwear,40,625,250000,112500,0.45,Outlet,August,08,True
Walmart,1197831,2020-08-10,South,Texas,Houston,Men's Apparel,45,525,236250,70875,0.3,Outlet,August,08,False
Walmart,1197831,2020-08-11,South,Texas,Houston,Women's Apparel,40,800,320000,160000,0.5,Outlet,August,08,True
Walmart,1197831,2020-08-12,South,Texas,Houston,Men's Street Footwear,30,925,277500,97125,0.35,Outlet,August,08,False
Walmart,1197831,2020-08-13,South,Texas,Houston,Men's Athletic Footwear,40,925,370000,129499,0.35,Outlet,August,08,False
Walmart,1197831,2020-08-14,South,Texas,Houston,Women's Street Footwear,35,775,271250,94937,0.35,Outlet,August,08,True
Walmart,1197831,2020-08-15,South,Texas,Houston,Women's Athletic Footwear,40,700,280000,126000,0.45,Outlet,August,08,True
Walmart,1197831,2020-08-16,South,Texas,Houston,Men's Apparel,45,600,270000,81000,0.3,Outlet,August,08,False
Walmart,1197831,2020-08-17,South,Texas,Houston,Women's Apparel,40,950,380000,190000,0.5,Outlet,August,08,True
Walmart,1197831,2020-08-18,South,Texas,Houston,Men's Street Footwear,40,950,380000,133000,0.35,Outlet,August,08,False
Walmart,1197831,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,45,950,427500,149625,0.35,Outlet,August,08,False
Walmart,1197831,2020-08-20,South,Texas,Houston,Women's Street Footwear,40,800,320000,112000,0.35,Outlet,August,08,True
Walmart,1197831,2020-08-21,South,Texas,Houston,Women's Athletic Footwear,40,750,300000,135000,0.45,Outlet,August,08,True
Walmart,1197831,2020-08-22,South,Texas,Houston,Men's Apparel,45,650,292500,87750,0.3,Outlet,August,08,False
Walmart,1197831,2020-08-23,South,Texas,Houston,Women's Apparel,50,1000,500000,250000,0.5,Outlet,August,08,True
Walmart,1197831,2020-08-24,South,Texas,Houston,Men's Street Footwear,40,950,380000,133000,0.35,Outlet,August,08,False
Walmart,1197831,2020-08-25,South,Texas,Houston,Men's Athletic Footwear,45,950,427500,149625,0.35,Outlet,August,08,False
Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,40,1100,440000,154000,0.35,Outlet,August,08,True
Walmart,1197831,2020-08-27,South,Texas,Houston,Women's Athletic Footwear,40,700,280000,126000,0.45,Outlet,August,08,True
Walmart,1197831,2020-08-28,South,Texas,Houston,Men's Apparel,45,700,315000,94500,0.3,Outlet,August,08,False
Walmart,1197831,2020-08-29,South,Texas,Houston,Women's Apparel,50,975,487500,243750,0.5,Outlet,August,08,True
Walmart,1197831,2020-08-30,South,Texas,Houston,Men's Street Footwear,40,925,370000,129499,0.35,Outlet,August,08,False
Walmart,1197831,2020-08-31,South,Texas,Houston,Men's Athletic Footwear,45,925,416250,145687,0.35,Outlet,August,08,False
Walmart,1197831,2020-09-01,South,Texas,Houston,Women's Street Footwear,40,1100,440000,154000,0.35,Outlet,September,09,True
Walmart,1197831,2020-09-02,South,Texas,Houston,Women's Athletic Footwear,40,650,260000,117000,0.45,Outlet,September,09,True
Walmart,1197831,2020-09-03,South,Texas,Houston,Men's Apparel,45,650,292500,87750,0.3,Outlet,September,09,False
Walmart,1197831,2020-09-04,South,Texas,Houston,Women's Apparel,50,900,450000,225000,0.5,Outlet,September,09,True
Walmart,1197831,2020-09-05,South,Texas,Houston,Men's Street Footwear,45,850,382500,133875,0.35,Outlet,September,09,False
Walmart,1197831,2020-09-06,South,Texas,Houston,Men's Athletic Footwear,45,850,382500,133875,0.35,Outlet,September,09,False
Walmart,1197831,2020-09-07,South,Texas,Houston,Women's Street Footwear,50,900,450000,157500,0.35,Outlet,September,09,True
Walmart,1197831,2020-09-08,South,Texas,Houston,Women's Athletic Footwear,50,625,312500,140625,0.45,Outlet,September,09,True
Walmart,1197831,2020-09-09,South,Texas,Houston,Men's Apparel,45,625,281250,84375,0.3,Outlet,September,09,False
Walmart,1197831,2020-09-10,South,Texas,Houston,Women's Apparel,55,850,467500,233750,0.5,Outlet,September,09,True
Walmart,1197831,2020-09-11,South,Texas,Houston,Men's Street Footwear,45,800,360000,125999,0.35,Outlet,September,09,False
Walmart,1197831,2020-09-12,South,Texas,Houston,Men's Athletic Footwear,45,800,360000,125999,0.35,Outlet,September,09,False
Walmart,1197831,2020-09-13,South,Texas,Houston,Women's Street Footwear,50,750,375000,131250,0.35,Outlet,September,09,True
Walmart,1197831,2020-09-14,South,Texas,Houston,Women's Athletic Footwear,50,600,300000,135000,0.45,Outlet,September,09,True
Walmart,1197831,2020-09-15,South,Texas,Houston,Men's Apparel,45,575,258750,77625,0.3,Outlet,September,09,False
Walmart,1197831,2020-09-16,South,Texas,Houston,Women's Apparel,55,750,412500,206250,0.5,Outlet,September,09,True
Walmart,1197831,2020-10-20,South,Texas,Houston,Men's Street Footwear,45,900,405000,141750,0.35,Outlet,October,10,False
Walmart,1197831,2020-10-21,South,Texas,Houston,Men's Athletic Footwear,45,900,405000,141750,0.35,Outlet,October,10,False
Walmart,1197831,2020-10-22,South,Texas,Houston,Women's Street Footwear,50,825,412500,144375,0.35,Outlet,October,10,True
Walmart,1197831,2020-10-23,South,Texas,Houston,Women's Athletic Footwear,50,675,337500,151875,0.45,Outlet,October,10,True
Walmart,1197831,2020-10-24,South,Texas,Houston,Men's Apparel,45,650,292500,87750,0.3,Outlet,October,10,False
Walmart,1197831,2020-10-25,South,Texas,Houston,Women's Apparel,55,850,467500,233750,0.5,Outlet,October,10,True
Walmart,1197831,2020-10-26,South,Texas,Houston,Men's Street Footwear,45,950,427500,149625,0.35,Outlet,October,10,False
Walmart,1197831,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,45,950,427500,149625,0.35,Outlet,October,10,False
Walmart,1197831,2020-10-28,South,Texas,Houston,Women's Street Footwear,50,850,425000,148750,0.35,Outlet,October,10,True
Walmart,1197831,2020-10-29,South,Texas,Houston,Women's Athletic Footwear,50,700,350000,157500,0.45,Outlet,October,10,True
Walmart,1197831,2020-10-30,South,Texas,Houston,Men's Apparel,45,650,292500,87750,0.3,Outlet,October,10,False
Walmart,1197831,2020-10-31,South,Texas,Houston,Women's Apparel,55,900,495000,247500,0.5,Outlet,October,10,True
West Gear,1128299,2020-11-01,South,Texas,Houston,Men's Street Footwear,40,775,310000,108500,0.35000000000000003,Outlet,November,11,False
West Gear,1128299,2020-11-02,South,Texas,Houston,Men's Athletic Footwear,50,775,387500,77500,0.2,Outlet,November,11,False
West Gear,1128299,2020-11-03,South,Texas,Houston,Women's Street Footwear,50,775,387500,135625,0.35000000000000003,Outlet,November,11,True
West Gear,1128299,2020-11-04,South,Texas,Houston,Women's Athletic Footwear,50,625,312500,93750,0.3,Outlet,November,11,True
West Gear,1128299,2020-11-05,West,California,San Francisco,Men's Apparel,55,575,316250,158125,0.5,Outlet,November,11,False
West Gear,1128299,2020-11-06,West,California,San Francisco,Women's Apparel,50,775,387500,58125,0.15000000000000002,Outlet,November,11,True
West Gear,1128299,2020-11-07,West,California,San Francisco,Men's Street Footwear,40,825,330000,115500,0.35000000000000003,Outlet,November,11,False
West Gear,1128299,2020-11-08,West,California,San Francisco,Men's Athletic Footwear,50,725,362500,72500,0.2,Outlet,November,11,False
West Gear,1128299,2020-11-09,West,California,San Francisco,Women's Street Footwear,50,725,362500,126875,0.35000000000000003,Outlet,November,11,True
West Gear,1128299,2020-11-10,West,California,San Francisco,Women's Athletic Footwear,50,575,287500,86250,0.3,Outlet,November,11,True
West Gear,1128299,2020-11-11,West,California,San Francisco,Men's Apparel,55,500,275000,137500,0.5,Outlet,November,11,False
West Gear,1128299,2020-11-12,West,California,San Francisco,Women's Apparel,50,700,350000,52500,0.15000000000000002,Outlet,November,11,True
West Gear,1128299,2020-11-13,West,California,San Francisco,Men's Street Footwear,50,850,425000,148750,0.35000000000000003,Outlet,November,11,False
West Gear,1128299,2020-11-14,West,California,San Francisco,Men's Athletic Footwear,60,700,420000,84000,0.2,Outlet,November,11,False
West Gear,1128299,2020-11-15,West,California,San Francisco,Women's Street Footwear,60,700,420000,147000,0.35000000000000003,Outlet,November,11,True
West Gear,1128299,2020-12-22,West,California,San Francisco,Women's Athletic Footwear,60,600,360000,108000,0.3,Outlet,December,12,True
West Gear,1128299,2020-12-23,West,California,San Francisco,Men's Apparel,65,500,325000,162500,0.5,Outlet,December,12,False
West Gear,1128299,2020-12-24,West,California,San Francisco,Women's Apparel,60,700,420000,63000,0.15000000000000002,Outlet,December,12,True
West Gear,1128299,2020-12-25,West,California,San Francisco,Men's Street Footwear,60,875,525000,183750,0.35000000000000003,Outlet,December,12,False
West Gear,1128299,2020-12-26,West,California,San Francisco,Men's Athletic Footwear,65,675,438750,87750,0.2,Outlet,December,12,False
West Gear,1128299,2020-12-27,West,California,San Francisco,Women's Street Footwear,65,725,471250,164937,0.35000000000000003,Outlet,December,12,True
West Gear,1128299,2020-12-28,West,California,San Francisco,Women's Athletic Footwear,60,625,375000,112500,0.3,Outlet,December,12,True
West Gear,1128299,2020-12-29,West,California,San Francisco,Men's Apparel,65,525,341250,170625,0.5,Outlet,December,12,False
West Gear,1128299,2020-12-30,West,California,San Francisco,Women's Apparel,80,700,560000,84000,0.15000000000000002,Outlet,December,12,True
West Gear,1128299,2020-12-31,West,California,San Francisco,Men's Street Footwear,60,900,540000,216000,0.4,Outlet,December,12,False
West Gear,1128299,2021-01-01,West,California,San Francisco,Men's Athletic Footwear,65,750,487500,121875,0.25,Outlet,January,01,False
West Gear,1128299,2021-01-02,West,California,San Francisco,Women's Street Footwear,65,750,487500,195000,0.4,Outlet,January,01,True
West Gear,1128299,2021-01-03,West,California,San Francisco,Women's Athletic Footwear,60,650,390000,136500,0.35,Outlet,January,01,True
West Gear,1128299,2021-01-04,West,California,San Francisco,Men's Apparel,65,550,357500,196625,0.55,Outlet,January,01,False
West Gear,1128299,2021-01-05,West,California,San Francisco,Women's Apparel,80,725,580000,116000,0.2,Outlet,January,01,True
West Gear,1128299,2021-01-06,West,California,San Francisco,Men's Street Footwear,60,975,585000,234000,0.4,Outlet,January,01,False
West Gear,1128299,2021-01-07,West,California,San Francisco,Men's Athletic Footwear,65,825,536250,134062,0.25,Outlet,January,01,False
West Gear,1128299,2021-01-08,West,California,San Francisco,Women's Street Footwear,65,825,536250,214500,0.4,Outlet,January,01,True
West Gear,1128299,2021-01-09,West,California,San Francisco,Women's Athletic Footwear,60,700,420000,147000,0.35,Outlet,January,01,True
West Gear,1128299,2021-01-10,West,California,San Francisco,Men's Apparel,65,575,373750,205562,0.55,Outlet,January,01,False
West Gear,1128299,2021-01-11,West,California,San Francisco,Women's Apparel,80,875,700000,140000,0.2,Outlet,January,01,True
West Gear,1128299,2021-01-12,West,California,San Francisco,Men's Street Footwear,60,1025,615000,215250,0.35000000000000003,Outlet,January,01,False
West Gear,1128299,2021-01-13,West,California,San Francisco,Men's Athletic Footwear,65,875,568750,113750,0.2,Outlet,January,01,False
West Gear,1128299,2021-01-14,West,California,San Francisco,Women's Street Footwear,65,825,536250,187687,0.35000000000000003,Outlet,January,01,True
West Gear,1128299,2021-01-15,West,California,San Francisco,Women's Athletic Footwear,60,725,435000,130500,0.3,Outlet,January,01,True
West Gear,1128299,2021-01-16,West,California,San Francisco,Men's Apparel,65,775,503750,251875,0.5,Outlet,January,01,False
West Gear,1128299,2021-01-17,West,California,San Francisco,Women's Apparel,80,775,620000,93000,0.15000000000000002,Outlet,January,01,True
West Gear,1128299,2021-01-18,West,California,San Francisco,Men's Street Footwear,65,975,633750,221812,0.35000000000000003,Outlet,January,01,False
West Gear,1128299,2021-01-19,West,California,San Francisco,Men's Athletic Footwear,70,925,647500,129500,0.2,Outlet,January,01,False
West Gear,1128299,2021-01-20,West,California,San Francisco,Women's Street Footwear,65,800,520000,182000,0.35000000000000003,Outlet,January,01,True
West Gear,1128299,2021-01-21,West,California,San Francisco,Women's Athletic Footwear,65,750,487500,146250,0.3,Outlet,January,01,True
West Gear,1128299,2021-01-22,West,California,San Francisco,Men's Apparel,75,750,562500,281250,0.5,Outlet,January,01,False
West Gear,1128299,2021-01-23,West,California,San Francisco,Women's Apparel,80,725,580000,87000,0.15000000000000002,Outlet,January,01,True
West Gear,1128299,2021-01-24,West,California,San Francisco,Men's Street Footwear,55,925,508750,152625,0.30000000000000004,Outlet,January,01,False
West Gear,1128299,2021-01-25,West,California,San Francisco,Men's Athletic Footwear,60,925,555000,83250,0.15,Outlet,January,01,False
West Gear,1128299,2021-01-26,West,California,San Francisco,Women's Street Footwear,55,775,426250,127875,0.30000000000000004,Outlet,January,01,True
West Gear,1128299,2021-01-27,West,California,San Francisco,Women's Athletic Footwear,55,725,398750,99687,0.24999999999999997,Outlet,January,01,True
West Gear,1128299,2021-01-28,West,California,San Francisco,Men's Apparel,65,725,471250,212062,0.45000000000000007,Outlet,January,01,False
West Gear,1128299,2021-01-29,West,California,San Francisco,Women's Apparel,70,775,542500,54250,0.1,Outlet,January,01,True
West Gear,1128299,2021-01-30,West,California,San Francisco,Men's Street Footwear,55,875,481250,144375,0.30000000000000004,Outlet,January,01,False
West Gear,1128299,2021-01-31,West,California,San Francisco,Men's Athletic Footwear,60,875,525000,78750,0.15,Outlet,January,01,False
West Gear,1128299,2021-02-01,West,California,San Francisco,Women's Street Footwear,55,700,385000,115500,0.30000000000000004,Outlet,February,02,True
West Gear,1128299,2021-02-02,West,California,San Francisco,Women's Athletic Footwear,55,675,371250,92812,0.24999999999999997,Outlet,February,02,True
West Gear,1128299,2021-02-03,West,California,San Francisco,Men's Apparel,65,650,422500,190125,0.45000000000000007,Outlet,February,02,False
West Gear,1128299,2021-02-04,West,California,San Francisco,Women's Apparel,70,700,490000,49000,0.1,Outlet,February,02,True
West Gear,1128299,2021-02-05,West,California,San Francisco,Men's Street Footwear,55,875,481250,144375,0.30000000000000004,Outlet,February,02,False
West Gear,1128299,2021-02-06,West,California,San Francisco,Men's Athletic Footwear,60,875,525000,78750,0.15,Outlet,February,02,False
West Gear,1128299,2021-02-07,West,California,San Francisco,Women's Street Footwear,55,725,398750,119625,0.30000000000000004,Outlet,February,02,True
West Gear,1128299,2021-02-08,West,California,San Francisco,Women's Athletic Footwear,55,700,385000,96250,0.24999999999999997,Outlet,February,02,True
West Gear,1128299,2021-02-09,West,California,San Francisco,Men's Apparel,65,650,422500,190125,0.45000000000000007,Outlet,February,02,False
West Gear,1128299,2021-02-10,West,California,San Francisco,Women's Apparel,70,775,542500,54250,0.1,Outlet,February,02,True
West Gear,1128299,2021-02-11,West,California,San Francisco,Men's Street Footwear,55,975,536250,160875,0.30000000000000004,Outlet,February,02,False
West Gear,1128299,2021-02-12,West,California,San Francisco,Men's Athletic Footwear,60,975,585000,87750,0.15,Outlet,February,02,False
West Gear,1128299,2021-02-13,West,California,San Francisco,Women's Street Footwear,55,775,426250,127875,0.30000000000000004,Outlet,February,02,True
West Gear,1128299,2021-02-14,West,California,San Francisco,Women's Athletic Footwear,55,775,426250,106562,0.24999999999999997,Outlet,February,02,True
West Gear,1128299,2021-02-15,West,California,San Francisco,Men's Apparel,65,700,455000,204750,0.45000000000000007,Outlet,February,02,False
West Gear,1128299,2021-02-16,West,California,San Francisco,Women's Apparel,70,800,560000,56000,0.1,Outlet,February,02,True
Kohl's,1189833,2021-02-17,West,California,San Francisco,Men's Street Footwear,35,700,245000,98000,0.4,Outlet,February,02,False
Kohl's,1189833,2021-02-18,West,California,San Francisco,Men's Athletic Footwear,45,700,315000,78750,0.25,Outlet,February,02,False
Kohl's,1189833,2021-03-09,West,California,San Francisco,Women's Street Footwear,45,700,315000,126000,0.4,Outlet,March,03,True
Kohl's,1189833,2021-03-10,West,California,San Francisco,Women's Athletic Footwear,45,550,247500,86625,0.35,Outlet,March,03,True
Kohl's,1189833,2021-03-11,West,California,Los Angeles,Men's Apparel,50,500,250000,137500,0.55,Outlet,March,03,False
Kohl's,1189833,2021-03-12,West,California,Los Angeles,Women's Apparel,45,700,315000,63000,0.2,Outlet,March,03,True
Kohl's,1189833,2021-03-13,West,California,Los Angeles,Men's Street Footwear,35,750,262500,105000,0.4,Outlet,March,03,False
